EstacaoCodigo;Data;Maxima;Minima;Media
66380000;01/02/1999;107.725;63.313;81.099
66380000;01/01/1999;305.03;58.792;104.258
66380000;01/12/1998;150.51;67.944;98.107
66380000;01/11/1998;90.209;37.985;49.033
66380000;01/10/1998;57.679;36.479;42.264
66380000;01/09/1998;99.44;35;40.019
66380000;01/08/1998;43.467;35;36.742
66380000;01/07/1998;41.077;36.479;37.87
66380000;01/06/1998;45.917;37.228;41.225
66380000;01/05/1998;59.911;45.917;51.702
66380000;01/04/1998;218.777;59.911;90.978
66380000;01/03/1998;201.396;78.756;114.008
66380000;01/02/1998;158.471;82.476;108.688
66380000;01/01/1998;215.852;46.95;87.285
66380000;01/12/1997;132.401;44.277;71.184
66380000;01/11/1997;149.195;33.549;59.23
66380000;01/10/1997;94.793;32.833;40.376
66380000;01/09/1997;40.294;35;35.867
66380000;01/08/1997;37.985;36.479;36.965
66380000;01/07/1997;44.277;37.985;41.504
66380000;01/06/1997;134.947;44.277;56.663
66380000;01/05/1997;76.307;52.223;60.798
66380000;01/04/1997;112.543;64.46;82.975
66380000;01/03/1997;121.117;76.307;93.359
66380000;01/02/1997;183.039;90.209;122.774
66380000;01/01/1997;284.288;77.663;114.579
66380000;01/12/1996;86.18;44.917;54.137
66380000;01/11/1996;84.032;46.779;65.503
66380000;01/10/1996;58.304;33.26;41.934
66380000;01/09/1996;43.072;35;37.687
66380000;01/08/1996;40.339;35;38.55
66380000;01/07/1996;49.605;40.339;41.405
66380000;01/06/1996;57.322;49.605;51.781
66380000;01/05/1996;81.896;57.322;64.27
66380000;01/04/1996;112.885;70.383;91.051
66380000;01/03/1996;159.809;86.18;108.369
66380000;01/02/1996;127.351;68.334;101.46
66380000;01/01/1996;163.842;69.357;98.192
66380000;01/12/1995;112.885;39.437;84.695
66380000;01/11/1995;76.613;35;52.31
66380000;01/10/1995;79.773;31.541;48.513
66380000;01/09/1995;40.339;31.541;32.412
66380000;01/08/1995;38.54;31.541;37.481
66380000;01/07/1995;47.717;38.54;42.56
66380000;01/06/1995;49.605;45.846;48.19
66380000;01/05/1995;81.896;49.605;61.367
66380000;01/04/1995;140.081;69.357;96.316
66380000;01/03/1995;112.885;76.613;96.468
66380000;01/02/1995;118.649;85.104;104.879
66380000;01/01/1995;137.507;73.483;93.807
66380000;01/12/1994;137.507;62.272;83.818
66380000;01/11/1994;112.885;40.339;56.273
66380000;01/10/1994;73.483;35;46.398
66380000;01/09/1994;54.398;31.541;36.088
66380000;01/08/1994;39.437;34.127;35.771
66380000;01/07/1994;53.431;39.437;42.542
66380000;01/06/1994;57.322;43.992;49.982
66380000;01/05/1994;77.663;49.605;59.8
66380000;01/04/1994;118.649;68.334;84.387
66380000;01/03/1994;177.492;70.383;102.084
66380000;01/02/1994;184.433;69.357;101.492
66380000;01/01/1994;176.113;56.343;89.339
66380000;01/12/1993;164.442;54.208;67.251
66380000;01/11/1993;96.679;46.688;65.017
66380000;01/10/1993;;;47.95
66380000;01/09/1993;49.978;38.082;40.459
66380000;01/08/1993;46.688;38.837;41.051
66380000;01/07/1993;49.978;38.837;43.587
66380000;01/06/1993;62.14;45.879;51.217
66380000;01/05/1993;71.423;49.978;55.419
66380000;01/04/1993;109.796;55.935;81.518
66380000;01/03/1993;109.796;59.451;81.709
66380000;01/02/1993;104.255;62.14;81.062
66380000;01/01/1993;164.442;55.069;80.64
66380000;01/11/1992;;;78.18
66380000;01/10/1992;;;48.2
66380000;01/09/1992;;;47.27
66380000;01/08/1992;;;37.83
66380000;01/07/1992;;;39.66
66380000;01/06/1992;;;42.46
66380000;01/05/1992;;;51.75
66380000;01/04/1992;;;79.77
66380000;01/03/1992;;;98.19
66380000;01/02/1992;144.001;66.721;93.746
66380000;01/01/1992;148.988;56.806;95.461
66380000;01/12/1991;131.815;47.503;69.162
66380000;01/11/1991;91.401;41.912;58.269
66380000;01/10/1991;;;
66380000;01/02/1991;131.815;48.322;89.338
66380000;01/01/1991;151.505;45.879;66.323
66380000;01/12/1990;172.406;50.814;70.603
66380000;01/11/1990;88.287;46.688;58.534
66380000;01/10/1990;106.458;41.912;57.749
