system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19900304_00000000000000000000;469;8;898;1132;702;131;2947;66;66870000;COXIM;0;0;04/03/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.745383868;68;0;LANDSAT_5;79.015.953;43.118.721;10;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19900405_00000000000000000000;519;8;919;1064;682;233;2920;158;66870000;COXIM;7;0;05/04/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.595486111;68;0;LANDSAT_5;61.874.641;46.939.327;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19900507_00000000000000000000;485;8;933;1221;1119;92;2938;81;66870000;COXIM;43;0;07/05/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.820487805;68;0;LANDSAT_5;49.417.603;52.211.628;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19900608_00000000000000000000;728;4;1079;1215;936;532;2883;315;66870000;COXIM;31;0;08/06/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.339540658;96;0;LANDSAT_5;44.459.473;56.719.048;128;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19900726_00000000000000000000;526;7;857;954;517;174;2924;142;66870000;COXIM;1;0;26/07/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.679262673;68;0;LANDSAT_5;48.951.263;55.729.458;43;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19900827_00000000000000000000;1464;1;1574;1548;1574;910;2846;499;66870000;COXIM;72;0;27/08/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.267310789;96;0;LANDSAT_5;57.328.575;48.976.421;359;0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19900928_00000000000000000000;794;8;1092;1223;1036;244;2924;132;66870000;COXIM;21;0;28/09/1990;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.645606391;96;0;LANDSAT_5;7.000.412;40.354.492;266;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19901030_00000000000000000000;545;8;961;1285;1208;239;2938;128;66870000;COXIM;0;0;30/10/1990;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.601666667;66;0;LANDSAT_5;87.222.748;3.468.692;33;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19901115_00000000000000000000;540;8;937;1235;1006;256;2960;195;66870000;COXIM;1;0;15/11/1990;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.570829841;68;0;LANDSAT_5;95.512.642;34.137.642;83;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19901217_00000000000000000000;515;8;902;1231;948;140;2960;128;66870000;COXIM;0;0;17/12/1990;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.731285988;68;0;LANDSAT_5;104.163.933;36.492.916;19;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19910219_00000000000000000000;558;8;1002;1265;1042;146;2938;58;66870000;COXIM;20;0;19/02/1991;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.745644599;68;0;LANDSAT_5;86.181.526;42.085.728;105;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19910526_00000000000000000000;442;8;876;1013;510;99;2929;35;66870000;COXIM;6;0;26/05/1991;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.785714286;68;0;LANDSAT_5;45.149.307;54.772.766;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
