system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19870107_00000000000000000001;496.0;4;976.0;1371.0;1135.0;196.0;2947.0;132.0;66870000;COXIM;0.0;0;1987-59-07;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6655290102389079;68.0;0.0;LANDSAT_5;102.684.654;38.834.469;33.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870312_00000000000000000000;424.0;3;936.0;1132.0;1204.0;401.0;2933.0;103.0;66845000;PEDRO GOMES;0.0;0;12/02/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.40014958863126404;66.0;0.0;LANDSAT_5;74.583.847;43.632.439;9.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870312_00000000000000000001;532.0;4;978.0;1405.0;970.0;157.0;2942.0;64.0;66870000;COXIM;0.0;0;12/02/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7233480176211454;68.0;0.0;LANDSAT_5;74.583.847;43.632.439;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870413_00000000000000000000;416.0;3;768.0;894.0;1148.0;360.0;2960.0;205.0;66845000;PEDRO GOMES;0.0;0;13/03/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.29108485499462944;66.0;0.0;LANDSAT_5;57.762.035;4.759.671;10.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870413_00000000000000000001;497.0;4;898.0;1086.0;745.0;146.0;2960.0;118.0;66870000;COXIM;0.0;0;13/03/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7088733798604188;68.0;0.0;LANDSAT_5;57.762.035;4.759.671;11.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870429_00000000000000000000;593.0;2;1002.0;1153.0;1080.0;348.0;2911.0;218.0;66845000;PEDRO GOMES;37.0;0;29/03/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.48444444444444446;68.0;0.0;LANDSAT_5;51.338.364;50.226.471;54.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870531_00000000000000000000;419.0;4;680.0;706.0;1115.0;508.0;2938.0;195.0;66845000;PEDRO GOMES;9.0;0;1987-04-31;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.17921686746987953;66.0;0.0;LANDSAT_5;44.242.931;5.515.263;9.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870531_00000000000000000001;516.0;4;893.0;984.0;521.0;251.0;2933.0;143.0;66870000;COXIM;9.0;0;1987-04-31;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5611888111888111;68.0;0.0;LANDSAT_5;44.242.931;5.515.263;18.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870702_00000000000000000000;445.0;3;728.0;842.0;882.0;530.0;2938.0;313.0;66845000;PEDRO GOMES;13.0;0;02/05/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.12345679012345678;68.0;0.0;LANDSAT_5;44.294.048;56.880.352;9.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870718_00000000000000000000;575.0;3;880.0;887.0;959.0;705.0;2951.0;358.0;66845000;PEDRO GOMES;45.0;0;18/05/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.0891089108910891;66.0;0.0;LANDSAT_5;46.373.268;55.820.339;110.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870803_00000000000000000000;557.0;3;822.0;831.0;819.0;502.0;2929.0;276.0;66845000;PEDRO GOMES;14.0;0;03/05/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.14770797962648557;68.0;0.0;LANDSAT_5;49.499.409;53.410.412;29.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870803_00000000000000000001;525.0;4;835.0;885.0;425.0;162.0;2915.0;81.0;66870000;COXIM;14.0;0;03/05/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6746987951807228;68.0;0.0;LANDSAT_5;49.499.409;53.410.412;17.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870819_00000000000000000000;806.0;3;984.0;900.0;1329.0;758.0;2933.0;393.0;66845000;PEDRO GOMES;3.0;0;19/06/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.12973593570608496;96.0;0.0;LANDSAT_5;53.546.173;49.849.297;289.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870819_00000000000000000001;949.0;4;1140.0;1127.0;976.0;289.0;2911.0;154.0;66870000;COXIM;3.0;0;19/06/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5955213435969209;96.0;0.0;LANDSAT_5;53.546.173;49.849.297;322.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870904_00000000000000000000;1266.0;3;1427.0;1291.0;1568.0;805.0;2942.0;347.0;66845000;PEDRO GOMES;15.0;0;04/06/1987;7.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.23948984411903637;66.0;0.0;LANDSAT_5;58.584.435;45.510.201;765.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870904_00000000000000000001;1311.0;4;1442.0;1400.0;1420.0;482.0;2915.0;256.0;66870000;COXIM;15.0;0;04/06/1987;7.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5269872423945045;96.0;0.0;LANDSAT_5;58.584.435;45.510.201;767.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
