Total;Data
5;01/06/2020
3;01/07/2020
16;01/08/2020
7;01/09/2020
168;01/10/2020
72;01/11/2020
215;01/12/2020
195;01/01/2021
220;01/02/2021
179;01/03/2021
36;01/04/2021
101;01/05/2021
13;01/06/2021
0;01/07/2021
13;01/08/2021
48;01/09/2021
153;01/10/2021
242;01/11/2021
241;01/12/2021
