system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;cloud_cover;cloud_qa_count;date;img_qual;station_nm;site_no;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;snow_ice_qa_count;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225072_19900811_00000000000000000003;423;14;769;783;572;366;2942;227;0;0;11/08/1990;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.172891463;68;0;LANDSAT_5;0;48.951.263;55.729.458;24;16.5;
1_LT05_225072_19900928_00000000000000000003;633;20;898;839;1162;444;2951;214;21;0;28/09/1990;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.297299653;66;0;LANDSAT_5;0;7.000.412;40.354.492;236;1;
1_LT05_225072_19901030_00000000000000000003;402;22;714;829;1308;458;2938;232;0;0;30/10/1990;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.132075472;66;0;LANDSAT_5;0;87.222.748;3.468.692;16;1;
1_LT05_225072_19901115_00000000000000000003;436;20;759;839;1180;524;2960;264;7;0;15/11/1990;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.189801311;66;0;LANDSAT_5;0;95.512.642;34.137.642;51.5;1;
1_LT05_225072_19901217_00000000000000000003;399;23;770;904;1093;438;2968;199;2;0;17/12/1990;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.308943089;66;0;LANDSAT_5;0;104.163.933;36.492.916;9;1;
1_LT05_225072_19910118_00000000000000000003;628;21;1167;1658;2475;443;2973;200;0;0;18/01/1991;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.287340924;66;0;LANDSAT_5;0;86.181.526;42.085.728;96;1;
1_LT05_225072_19910219_00000000000000000003;453;24;809;959;1325;394;2938;177;13;0;19/02/1991;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.222121487;68;0;LANDSAT_5;0;45.149.307;54.772.766;9;1;
1_LT05_225072_19910526_00000000000000000003;396;18;769;871;775;354;2929;138;0;0;26/05/1991;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.309957924;68;0;LANDSAT_5;0;43.892.239;56.548;9;32;
1_LT05_225072_19910729_00000000000000000003;517;19;822;873;818;493;2938;239;1;0;29/07/1991;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.188423645;68;0;LANDSAT_5;0;44.285.713;57.253.906;9;32;
1_LT05_225072_19910814_00000000000000000003;557;16;830;876;939;519;2968;266;0;0;14/08/1991;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.332880435;68;0;LANDSAT_5;0;52.736.549;51.568.409;14;32;
