station_nm,sensor,site_no,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,match_dt_start,match_dt_end,B4.B3.B1,cluster
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,29,2000-04-08,0.092800908,0.08814311,0.086839497,0.107446417,0.038280092,NA,0.013594085,0.9498087023027835,0.9498087023027835,0.935761285870177,1.1578164407615494,0.41249695530996316,0.14648655161865443,0.9852102677112256,1.2189996132426006,0.43429477357901264,0.1542274262843687,1.2372989332262023,0.44081429905104125,0.15654265017219066,0.3562714613368634,0.12651966793829897,0.35512153419067016,0.008612008525624465,0.007769207840472099,0.007541098239213009,0.011544732526137889,0.0014653654435284641,1.8479914698722502e-4,-0.385363753,2,2000-03-31,2000-04-16,13.332832187657068,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,28,2000-04-24,0.105332136,0.097414769,0.09944874,0.135314107,0.058349997,NA,0.026409872,0.9248342690021969,0.9248342690021969,0.944144339767305,1.2846422007429905,0.5539619646562565,0.2507294829756419,1.0208794931290142,1.389051253614326,0.5989851189812913,0.27110747447340355,1.3606417436761893,0.5867344020648226,0.26556266072350443,0.43121887505786816,0.19517456520627227,0.4526113686004131,0.011094858874322497,0.00948963721932336,0.0098900518875876,0.018309907553207445,0.0034047221499000093,6.97481339056384e-4,-0.234539861,0,2000-04-16,2000-05-02,12.917631744182888,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,28,2000-05-10,0.096171215,0.089750506,0.084945656,0.099194057,0.035310607,NA,0.012858888,0.933236686257941,0.933236686257941,0.8832752710881316,1.0314318790710921,0.3671639897655447,0.13370828267065152,0.9464643686799938,1.1052200307372084,0.39343072895878717,0.1432737103454325,1.167735487262586,0.41568467020844485,0.15137781736596398,0.35597502580220103,0.12963365335485774,0.3641650227083324,0.009248902594576227,0.008055153327256035,0.007215764473270335,0.00983946094411925,0.001246838966708449,1.6535100059654402e-4,-0.418497833,0,2000-05-02,2000-05-18,12.14225573902322,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,26,2000-06-27,0.100625597,0.087719098,0.078638479,0.080208458,0.039963439,NA,0.017443912,0.8717374168721702,0.8717374168721702,0.7814957758710241,0.7970979590809285,0.3971498325619872,0.17335461870601374,0.8964807070861581,0.9143785085432593,0.45558424460771363,0.19886105076000668,1.0199645138100903,0.5081919120027741,0.22182412760043335,0.4982446988321357,0.2174822011913008,0.43649676895924794,0.010125510771606408,0.007694640153933603,0.006184010379433441,0.006433396734737764,0.0015970764567067213,3.0429006586374396e-4,-0.353324374,0,2000-06-19,2000-07-05,10.136233167492069,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,24,2000-07-29,0.099865071,0.088515691,0.081725746,0.07801234,0.037373841,NA,0.019022701,0.8863528570464841,0.8863528570464841,0.8183616672139551,0.7811774349011378,0.37424337284054,0.1904840281944024,0.9232910580791829,0.8813391063060221,0.4222284272739847,0.21490767100264743,0.9545625927966445,0.45730804341633047,0.23276264740367128,0.47907601540986977,0.2438422049639839,0.508984372251169,0.00997303240583504,0.00783502755320748,0.006679097559256516,0.0060859251922756,0.0013968039910932809,3.61863153335401e-4,-0.365976242,0,2000-07-21,2000-08-06,9.558523147664356,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,29,2000-08-14,0.105445176,0.092423871,0.079866797,0.09212961,0.058720119,NA,0.025262965,0.8765111359859649,0.8765111359859649,0.7574248536509627,0.8737204820066875,0.5568781923224254,0.23958388575310452,0.8641360303984671,0.9968161796642341,0.6353349882953939,0.27333809682132876,1.153540813712612,0.735225665804527,0.3163137367334263,0.6373642415288635,0.2742111358118199,0.4302267337026343,0.011118685141670977,0.008542171930624641,0.0063787052630392095,0.0084878650387521,0.003448052375374161,6.38217400591225e-4,-0.233187299,0,2000-08-06,2000-08-22,10.939721070906193,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,26,2000-10-01,0.105902262,0.091723189,0.086821251,0.120952614,0.042764708,NA,0.018212579,0.8661117077933613,0.8661117077933613,0.8198243300978784,1.1421154913574934,0.40381297993427184,0.17197535402973735,0.9465572659057897,1.3186699603303151,0.4662366023928802,0.19856024630805194,1.3931222207337233,0.4925603755698014,0.2097709810700608,0.3535658022240015,0.15057615042532277,0.42587871756308965,0.011215289096716643,0.00841314340032972,0.007537929625205001,0.014629534833432996,0.0018288202503252639,3.31698033831241e-4,-0.356333149,0,2000-09-23,2000-10-09,13.15479192251553,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,26,2000-10-17,0.109276012,0.096766129,0.084327444,0.121912919,0.050983872,NA,0.021235842,0.8855203189516103,0.8855203189516103,0.7716921807139154,1.1156420953575794,0.4665605110113279,0.19433214674781507,0.8714562096412888,1.2598718194049074,0.5268772506131768,0.21945532201665316,1.4457086947874287,0.6045940631142573,0.25182598917619275,0.41819909176319536,0.17418861080670214,0.4165207773940748,0.011941246798624145,0.009363683721644643,0.007111117811573136,0.01486275981910056,0.002599355204112384,4.5096098544896405e-4,-0.313666546,5,2000-10-09,2000-10-25,13.229881547904847,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,4,2000-11-18,0.129013285,0.112519018,0.103724003,0.192229554,0.104008541,NA,0.055735733,0.8721506316190615,0.8721506316190615,0.8039792413626239,1.489998134688222,0.8061847351611889,0.43201545484249937,0.9218353025441441,1.708418340444457,0.9243641017201198,0.49534500025586786,1.8532793609980518,1.0027432223185602,0.5373465291346305,0.5410642579964577,0.2899436212602356,0.5358765007577599,0.016644427706491226,0.012660529411684324,0.010758668798344008,0.03695220143103892,0.010817776600948681,0.003106471933047289,-0.04016912,80,2000-11-10,2000-11-26,14.365027299305275,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,29,2000-12-20,0.097845875,0.093447313,0.098455742,0.129138872,0.0400552,NA,0.015170086,0.955046014969972,0.955046014969972,1.0062329352157156,1.3198192770006911,0.40937034903106545,0.1550406289483333,1.0535962869258744,1.3819431276745215,0.4286393981173113,0.16233838633755043,1.311643885635436,0.40683457547859425,0.15408025669036143,0.31017151830163114,0.1174711050596756,0.37872950328546606,0.009573815254515625,0.00873240030691997,0.009693533132770564,0.01667684826143238,0.0016044190470399999,2.3013150924739597e-4,-0.371547533,1,2000-12-12,2000-12-28,13.405203700569247,1
