station_nm,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
PCH EMBAUBA JUSANTE,66386000,6,703.5,767.5,675.5,1416.5,1.1498941318814278,0.9916987609901944,2.2560191328168475,0.8544521192501694,1.9803885672441017,2.3254640082238085,0.003048721150043933,8
PEDRO GOMES,66845000,975,412,709,789,987,1.6789473684210525,1.8294117647058823,2.325242718446602,1.1016731016731016,1.3689482470784642,1.2260802469135803,0.0028861134523535874,2
PCH SANTA GABRIELA JUSANTE,66484500,272,306.5,466,384.5,885,1.42776886035313,1.134989615512156,2.6513598326359835,0.8304414113547263,1.8964882943143813,2.260314232902033,0.007362357218537669,3
PCH AQUARIUS MONTANTE,66493900,472,452.5,680.5,594,898.5,1.4771156263091747,1.2350044563279856,1.9627361710305706,0.8809372445736082,1.3099388558442393,1.5055944055944055,0.003254616716635187,9
UHE PONTE DE PEDRA JUSANTE,66493000,505,434,674,591,774,1.5526315789473684,1.2958579881656804,1.7958236658932714,0.874859075535513,1.177293934681182,1.377906976744186,0.0029631720050797236,9
UHE ITIQUIRA JUSANTE,66525100,202,473.5,774,845,1142,1.5916427399507793,1.7544176105151714,2.389600279891542,1.096234391360745,1.4921803142168195,1.363383724500566,0.002815377405034898,2
PCH SANTA GABRIELA MONTANTE 1,66483600,114,349.5,561.75,512.5,908.5,1.4983626971681578,1.373271447739533,2.435994168575764,0.9327229483212487,1.5594235829272671,1.7282500947549493,0.004752086478528612,6
PCH ENG. JOSE GELAÂSIO DA ROCHA MONTANTE,66452500,29,305,467,432,929,1.547945205479452,1.3837837837837839,2.9793977812995247,0.891156462585034,1.9027149321266967,2.1322815533980584,0.007037774459377247,3
UHE ITIQUIRA RIO SOZINHO,66522100,5,793,942,881,1557,1.1661442006269593,1.0675844806007508,1.811912225705329,0.9393939393939394,1.553763440860215,1.7091108671789244,0.00285804492839285,8
COXIM,66870000,532,497,822.5,1008,742,1.6477559003400815,1.99890590809628,1.3868311242022582,1.2061168268960478,0.9002819090777358,0.7274826711749789,0.00143405180460855,5
UHE ITIQUIRA RIO CACHOEIRA,66521000,2,523,604,454,1400,1.1789448584202682,0.8795230998509687,2.667556880278192,0.7474390370089332,2.2765265178951237,3.041120292429274,0.006216623113046788,7
PCH RONDONOPOLIS MONTANTE,66454800,63,349,560,510,913,1.5483870967741935,1.3812010443864229,2.212962962962963,0.9207317073170732,1.6188870151770658,1.7854785478547854,0.004472709483541827,6
GARIMPAGEM,66855000,434,491,806.5,983,1128,1.6412495076617213,1.9836895388076492,2.3069469290399525,1.2133792707436117,1.397915607977391,1.1481459050529184,0.00233883407224017,5
PCH PONTE ALTA JUSANTE,66861000,2,694.5,763,710,1157,1.1009800128949063,1.01822695035461,1.696631205673759,0.9251805143773141,1.5395340672123474,1.6704535085318004,0.002548292066161378,8
PONTE DO GREGO,66926000,512,387,671.5,783.5,1099.5,1.6922158986598128,1.9301706321869534,2.657506047038238,1.127126716239613,1.584703861059391,1.4042411254567888,0.003492869352313683,2
AQUIDAUANA,66945000,751,435,712,844,903,1.5933202357563852,1.8660436137071652,1.9902200488997555,1.1666666666666667,1.2604790419161678,1.103,0.002381450156799392,2
ESTRADA MT-738,66900000,1414,399,631,708,975,1.5612795254388945,1.6640880127439268,2.360718732669952,1.066077404406236,1.5184335711858647,1.4045944346915222,0.0033880415663661155,2
UHE MANSO MONTANTE,66162000,408,391,584,528.5,1063,1.5473572850979092,1.305261586888093,2.7712316565542543,0.8910487591498146,1.8032766691303277,1.9180668652763986,0.004863760818590017,3
UHE MANSO JUSANTE,66210000,467,365.5,490,386,530,1.3403361344537814,0.9611111111111111,1.4640198511166254,0.7713414634146342,1.0989492119089317,1.414790996784566,0.003844870772762483,9
ROSARIO OESTES,66250001,454,435.5,705.5,666,563.5,1.6495926765768036,1.5427482733984283,1.3372782052780048,0.9396598399246705,0.8331315577078289,0.8708418254985764,0.0018932109552147885,4
PCH ALTO PARAGUAI JUSANTE,66005100,42,664,749.5,591,1373.75,1.117830194661087,0.9447712418300653,2.2772955305564,0.832299971770873,2.05512241605215,2.498027632451077,0.0041046849538688875,8
ACORIZAL,66255000,1262,458.5,738,717.5,573.5,1.6131182795698924,1.5120772946859904,1.2066042510121457,0.9367916836526702,0.78421835839599,0.8092981019626166,0.001719135149573049,4
CUIABA,66259200,472,502,762,749,594.5,1.5231372549019606,1.3507130124777182,1.1336835252367945,0.9253546792957892,0.8000188176712408,0.8374715462140925,0.0015777630235275218,4
CUIABA,66260001,471,531,792,774,572,1.4661791590493602,1.354694485842027,1.0033557046979866,0.9436052366565961,0.7317708333333334,0.7642679900744417,0.0013118615706020817,4
PCH PEQUI JUSANTE,66384000,6,1030,1069,887,1553.5,1.0682925750283125,0.8958099513655069,1.4211291334013458,0.8498251386860325,1.4030333015917125,1.6713713616572534,0.0018460463030940044,1
PCH SENADOR JONAS PINHEIRO JUSANTE,66201200,17,912,986,819,1811,1.0765957446808512,0.8796198521647307,2.1186650185414093,0.8222996515679443,1.8843243243243244,2.3055555555555554,0.0026684670781893,1
PORTO CERCADO (Ex-Retiro Biguacal),66340000,1011,512,850,875,667,1.6396396396396395,1.6654135338345866,1.337696335078534,1.0257009345794392,0.8456375838926175,0.804140127388535,0.0014787358753970456,4
PCH CASCA III JUSANTE,66170600,164,467.25,814.5,806,1260.75,1.8163894933398248,1.7211168625759372,2.6592072761773897,0.96894125780281,1.5510968637317633,1.5951467346376411,0.003174237874544229,6
PCH SAO TADEU I JUSANTE,66260110,69,491,795,770,1624,1.5473790322580645,1.3692722371967656,2.732186732186732,0.9080717488789237,1.9703125,2.0605381165919283,0.004104932600597992,6
PCH CASCA II MONTANTE 2,66170100,6,1038.5,1137.5,986,1884,1.0957484975056628,0.9042303748433406,2.028655414871748,0.8611307977006064,1.8405189384990943,2.1377862404021157,0.0019905992545505634,1
FAZENDA POENTE,66456000,7,424,549,415,1197.5,1.3066037735849056,0.9787735849056604,3.150943396226415,0.753125,2.4589322381930185,3.219277108433735,0.007592634689702205,7
PCH CASCA II MONTANTE 1,66165000,2,834,887.5,755,1622.5,1.0538800813969997,0.8675386872367612,2.052430079030808,0.8220591845920915,1.9523822514424454,2.4070510870446986,0.004160057640602404,1
SAO JOSE DO BORIREU,66470000,509,474,913,1212,1187,1.9172749391727495,2.460759493670886,2.4097938144329896,1.283195020746888,1.284472049689441,1.0205167173252279,0.0020422764227642277,5
PORTO DO ALEGRE,66750000,853,490,846,932,645,1.670859538784067,1.8304093567251463,1.4158415841584158,1.0893574297188755,0.8774978279756733,0.7973856209150327,0.001441178337883309,2
SAO JERONIMO,66600000,531,430,708,651,459,1.5692963752665245,1.4877551020408164,1.1660268714011517,0.9470404984423676,0.7585421412300684,0.781055900621118,0.001674799009323837,4
ILHA CAMARGO,66370000,301,462,779,808,1783,1.675,1.6728538283062646,3.8316430020283976,0.9900497512437811,2.293577981651376,2.249655172413793,0.004749568221070812,6
SAO JOSE DO PIQUIRI,66650000,529,435,711,664.9999999999999,448,1.5703125,1.4768683274021348,1.1113207547169812,0.9497907949790796,0.7338618346545867,0.7479452054794521,0.0015666782017806022,4
PORTO DA MANGA,66895000,1038,420.5,561,585,489,1.3488747209087126,1.3838235294117647,1.180098137059215,1.0358702432938243,0.8944190451904337,0.9087193632789337,0.0020264413728255013,4
PORTO CIRIACO,66950000,507,411,708,790,1089,1.687813021702838,1.8825995807127882,2.612431444241316,1.1052036199095023,1.5538033395176252,1.387878787878788,0.0031869148427890338,2
MIRANDA,66910000,501,405,655,730,1009,1.6012269938650308,1.6990950226244343,2.520408163265306,1.0714285714285714,1.5625,1.424643584521385,0.0034718947973013522,2
PORTO MURTINHO,67100000,1023,417,577.9999999999999,600.9999999999998,463,1.4017991004497752,1.494195688225539,1.1488095238095237,1.0699865410497982,0.8603873333584083,0.8439716312056738,0.00200245789055158,4
PCH DIAMANTE JUSANTE,66005900,383,430,629,602,659,1.4897360703812317,1.3786407766990292,1.3741721854304636,0.9435483870967742,0.9490886235072281,0.9814963797264682,0.0023098304819324277,4
PCH GRACA BRENNAND JUSANTE,66053200,879,326,457,413,841,1.4,1.2224938875305624,2.3602693602693603,0.8849918433931484,1.6917922948073703,1.8516129032258064,0.0054228096932723265,3
PCH PAMPEANA JUSANTE,66052900,110,581,723.75,629,1485.5,1.1982477168258734,0.9983193277310924,2.3420285722507517,0.8632215279274102,1.9329316785154838,2.235521667027183,0.0038750123886077403,8
PCH RIO DO SAPO MONTANTE 1,66028500,39,1066,1123,932,2472,1.0591133004926108,0.8849407783417935,2.2531194295900177,0.8416612589227774,2.1103581800580833,2.503823279524214,0.0023933764960968095,1
PCH MARACANA JUSANTE,66025500,34,1040.5,1112,858.5,2425.5,1.0536902657460128,0.8242527621941831,2.3388955806612395,0.7932966323553539,2.2206463686446023,2.7487772281418947,0.002594008312854529,1
PCH RIO DO SAPO JUSANTE,66029010,119,469,603,591,795,1.2419354838709677,1.1526162790697674,1.813780260707635,0.9269102990033222,1.355191256830601,1.3249475890985325,0.0027930143118340585,9
PCH SANTANA I JUSANTE,66005960,26,610.5,852,794,1951,1.2375645187659106,1.0618699801785079,2.893493993342018,0.8953640068342148,2.1888616557734206,2.405785432697614,0.003944982550980506,8
PCH DIAMANTE MONTANTE1,66005600,10,906,946.5,795,2179,1.0674357715594829,0.8847795528875579,2.2519079717533326,0.8074562108133456,2.162321969175726,2.6226993456434506,0.002903055010542095,1
CAÂCERES (DNPVN),66070004,498,550,823.5,821.5,548.4662921348314,1.4878259682337414,1.511820854353428,1.026124183006536,1.010331271568483,0.6977756969718385,0.6772327037753534,0.0011612790241637661,4
PORTO CONCEICAO,66120000,495,423,626,591,585,1.4293015332197614,1.327536231884058,1.5875,0.9264413518886679,1.0903703703703704,1.1755786113328013,0.0025312450561619996,4
DESCALVADOS,66090000,496,501,783,728.308358974359,527.609454366705,1.5078157560011909,1.4280838578248047,1.1462255403581503,0.9503652955993089,0.799238691283588,0.8116158024327564,0.0013696077825147551,4
AMOLAR,66800000,1016,448.5,669,728.5,553.5,1.4702380952380953,1.54111325644176,1.3075609225413403,1.0588649318974608,0.8683493734090566,0.8046148151536954,0.0016536356360247497,4
SAO FRANSCISCO,66810000,506,427.5,641.5,660.5,519,1.4715428344791117,1.5579263457288766,1.2802113914287112,1.0533736669401148,0.8935166162645455,0.867111081825104,0.0018852714594218248,4
UHE JUBA I MONTANTE,66051000,333,505,701,586,1360,1.392330383480826,1.1615044247787611,2.665024630541872,0.8200093501636279,1.915923566878981,2.3104434907010014,0.004556959780840378,3
UHE JUBA II JUSANTE,66052500,310,306.5,431,376.5,782.5,1.367145950935492,1.1081274236849956,2.3477597402597405,0.8398817900365888,1.7811710332002406,2.098154019909723,0.005932831565167033,3
UHE JAURU MONTANTE,66071382,771,358,515,441,748,1.4161073825503356,1.1636828644501278,1.9227799227799227,0.851123595505618,1.3692307692307693,1.6089965397923875,0.004297173414820474,9
PCH ANTONIO BRENNAND MONTANTE 1,66071355,80,563.25,655.5,478,1821.5,1.1141748366013071,0.840319698049067,2.9000913334686422,0.7301542297069391,2.6210488586442606,3.729366336633664,0.006521743728906893,7
PCH ANTÃƒâ€NIO BRENNAND JUSANTE,66071363,76,615.5,701.5,522.25,1782,1.1148647106764467,0.8718361290051508,2.7017783297190983,0.7663416023559195,2.3944777750091046,3.2082284276331823,0.005222677785876158,7
PCH OMBREIRAS JUSANTE,66071380,343,470,589,531,935,1.2650375939849625,1.0846774193548387,2.0551470588235294,0.8658536585365854,1.6449864498644986,1.9137055837563453,0.0037660549169500576,3
PCH JUBINHA III MONTANTE,66050500,39,991,1066,798,2382,1.0743119266055046,0.8536782538399353,2.5005973715651133,0.7938311688311688,2.280720338983051,2.8700906344410875,0.0031525669233338056,1
PCH SALTO JUSANTE,66071397,415,359,524.5,444,900,1.420523138832998,1.1538461538461537,2.374570446735395,0.8451178451178452,1.6352813852813852,1.9276315789473684,0.005271137437416262,3
PCH INDIAVAIÂ JUSANTE,66071392,383,400,547.5,470,1030.5,1.3757225433526012,1.1275510204081634,2.4270462633451957,0.8464566929133859,1.811623246492986,2.114235500878735,0.005189258286073715,3
PCH FIGUEIROPOLIS JUSANTE,66071470,424,369.5,550.5,473.5,1015,1.47602942455469,1.1805773523052243,2.7970798327854216,0.8488024774890027,1.856117112482853,2.1424615002483858,0.005681335608959607,3
