site_no,sample_date,station_nm,sensor,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1.1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,cloud_qa_count,ndssi,nsmi,index_montaigner_2014,bi,B3_B2_B1,match_dt_start,match_dt_end,EstacaoCodigo,NomeEstacao,Data,Hora,Largura,ConcentracaoMatSuspensao,lag_days,log10_SSC_mgL,abs_lag_days
66900000,28/07/2017,ESTRADA MT-738,Landsat 7,-20.762216615395705,-56.09173668926215,4,2017-07-28,301,457.5,435,719.5,333,2945,187,1.5199335548172757,1.5199335548172757,1.4451827242524917,2.3903654485049834,1.106312292358804,0.6212624584717608,0.9508196721311475,1.5726775956284154,0.7278688524590164,0.4087431693989071,1.6540229885057471,0.7655172413793103,0.4298850574712644,0.462821403752606,0.2599027102154274,0.5615615615615616,90601,209306.25,189225,517680.25,110889,34969,-0.1553863924406013,0,0,0.41009309162175406,0.49560117302052786,1.5220830586684244,446.3917841985894,0.5735003295978905,2017-07-28,2017-07-28,66900000,Estrada MT-738,28/07/2017,01/01/1900 10:55,68.38,7.5,0,0.8750612633917001,0
66900000,29/11/2007,ESTRADA MT-738,Landsat 7,-20.762216615395705,-56.09173668926215,7,2007-11-29,445,668,747,1248,430,2980,257,1.501123595505618,1.501123595505618,1.6786516853932585,2.804494382022472,0.9662921348314607,0.5775280898876405,1.1182634730538923,1.8682634730538923,0.6437125748502994,0.3847305389221557,1.6706827309236947,0.5756358768406962,0.34404283801874164,0.34455128205128205,0.20592948717948717,0.5976744186046512,198025,446224,558009,1557504,184900,66049,-0.20492524186455585,4,0,0.47430596574128764,0.521505376344086,1.7924528301886793,708.6017922641743,0.6711590296495957,2007-11-29,2007-11-29,66900000,Estrada MT-738,29/11/2007,01/01/1900 10:40,63.4,60.13,0,1.7790912038454991,0
66845000,06/11/2013,PEDRO GOMES,Landsat 7,-18.165530462538353,-54.471370712056775,5,2013-11-06,606,916,1146,1550,467,2960,254,1.5115511551155116,1.5115511551155116,1.891089108910891,2.557755775577558,0.7706270627062707,0.41914191419141916,1.2510917030567685,1.6921397379912664,0.509825327510917,0.27729257641921395,1.3525305410122164,0.4075043630017452,0.22164048865619546,0.30129032258064514,0.1638709677419355,0.5438972162740899,367236,839056,1313316,2402500,218089,64516,-0.32127955493741306,46,11,0.437847866419295,0.545727136431784,1.771353482260184,1037.39384999141,0.7529566360052562,2013-11-06,2013-11-06,66845000,Pedro Gomes,06/11/2013,01/01/1900 10:40,77.95,606,0,2.782472624166286,0
66845000,02/10/2009,PEDRO GOMES,Landsat 5,-18.165530462538353,-54.471370712056775,9,2009-10-02,618,872,849,885,424,2955,263,1.4110032362459546,1.4110032362459546,1.3737864077669903,1.4320388349514563,0.686084142394822,0.4255663430420712,0.9736238532110092,1.014908256880734,0.48623853211009177,0.30160550458715596,1.0424028268551238,0.4994110718492344,0.30977620730270905,0.47909604519774013,0.29717514124293787,0.6202830188679245,381924,760384,720801,783225,179776,69169,-0.326984126984127,13,0,0.17764471057884232,0.4715690466011116,1.163758389261745,860.5768414267259,0.5697986577181208,2009-10-02,2009-10-02,66845000,Pedro Gomes,02/10/2009,01/01/1900 10:20,74.8,307.8,0,2.48826861549546,0
66870000,15/04/2014,COXIM,Landsat 7,-18.50815886928303,-54.76266594747418,27,2014-04-15,609,825,1137,1383,241,2908,156,1.354679802955665,1.354679802955665,1.8669950738916257,2.270935960591133,0.3957307060755337,0.2561576354679803,1.3781818181818182,1.6763636363636363,0.2921212121212121,0.1890909090909091,1.2163588390501319,0.2119613016710642,0.13720316622691292,0.1742588575560376,0.11279826464208242,0.6473029045643154,370881,680625,1292769,1912689,58081,24336,-0.5669362084456424,70,0,0.3885542168674699,0.5262543757292882,1.7573221757322175,993.3262303996607,0.7928870292887029,2014-04-15,2014-04-15,66870000,Coxim,15/04/2014,01/01/1900 12:40,157,805,0,2.9057958803678687,0
66870000,15/04/2011,COXIM,Landsat 5,-18.50815886928303,-54.76266594747418,28,2011-04-15,442,761,1071,926,161,2942,107,1.7217194570135748,1.7217194570135748,2.423076923076923,2.0950226244343892,0.36425339366515835,0.2420814479638009,1.407358738501971,1.216819973718791,0.21156373193166886,0.14060446780551905,0.8646125116713352,0.1503267973856209,0.09990662931839403,0.17386609071274298,0.11555075593952484,0.6645962732919255,195364,579121,1147041,857476,25921,11449,-0.6507592190889371,17,0,0.3538011695906433,0.6112576956904133,1.6600166251039068,929.0215282758521,0.8902743142144638,2011-04-15,2011-04-15,66870000,Coxim,15/04/2011,01/01/1900 10:30,162.5,591.3,0,2.7718078789991054,0
66870000,21/10/2010,COXIM,Landsat 5,-18.50815886928303,-54.76266594747418,26,2010-10-21,488,765,985,674,222,2998,152,1.5676229508196722,1.5676229508196722,2.0184426229508197,1.3811475409836065,0.45491803278688525,0.3114754098360656,1.2875816993464053,0.8810457516339869,0.2901960784313726,0.19869281045751633,0.6842639593908629,0.22538071065989848,0.15431472081218275,0.3293768545994065,0.22551928783382788,0.6846846846846847,238144,585225,970225,454276,49284,23104,-0.5350785340314136,0,0,0.16006884681583478,0.5638963360142984,1.324022346368715,881.8871809931245,0.7861133280127693,2010-10-21,2010-10-21,66870000,Coxim,21/10/2010,01/01/1900 12:00,144.3,188.5,0,2.2753113545418118,0
66910000,26/03/2010,MIRANDA,Landsat 7,-20.240590974163606,-56.39980260374156,12,2010-03-26,405,683,858,1196,498,2955,237,1.6864197530864198,1.6864197530864198,2.1185185185185187,2.9530864197530864,1.2296296296296296,0.5851851851851851,1.2562225475841875,1.7510980966325036,0.7291361639824304,0.34699853587115664,1.393939393939394,0.5804195804195804,0.2762237762237762,0.41638795986622074,0.19816053511705686,0.4759036144578313,164025,466489,736164,1430416,248004,56169,-0.1935193519351935,19,0,0.49406620861961276,0.5837615621788284,1.8878676470588236,775.4524485743791,0.7886029411764706,2010-03-26,2010-03-26,66910000,Miranda,26/03/2010,01/01/1900 10:20,68,190.32,0,2.27948442902921,0
66255000,23/01/2016,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,5,2016-01-22,443,782,957,682,269,2980,107,1.765237020316027,1.765237020316027,2.160270880361174,1.5395033860045146,0.6072234762979684,0.24153498871331827,1.2237851662404091,0.8721227621483376,0.34398976982097185,0.13682864450127877,0.7126436781609196,0.28108672936259144,0.11180773249738767,0.3944281524926686,0.15689149560117302,0.39776951672862454,196249,611524,915849,465124,72361,11449,-0.48810656517602286,14,0,0.21244444444444444,0.5939505041246563,1.3379591836734694,873.8915836647016,0.7812244897959184,2016-01-23,2016-01-23,66255000,Acorizal,23/01/2016,01/01/1900 07:00,127.86,46.6,1,1.6683859166900001,1
66255000,22/05/2011,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,27,2011-05-23,252,447,404,322,138,2970,88,1.7738095238095237,1.7738095238095237,1.6031746031746033,1.2777777777777777,0.5476190476190477,0.3492063492063492,0.9038031319910514,0.7203579418344519,0.3087248322147651,0.19686800894854586,0.7970297029702971,0.3415841584158416,0.21782178217821782,0.42857142857142855,0.2732919254658385,0.6376811594202898,63504,199809,163216,103684,19044,7744,-0.5282051282051282,0,0,0.12195121951219512,0.543064369900272,1.03862660944206,426.0428382216981,0.5779685264663805,2011-05-22,2011-05-22,66255000,Acorizal,22/05/2011,01/01/1900 07:00,126,15,-1,1.1760912590556813,1
66255000,28/04/2010,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,26,2010-04-27,791,1060,1207,705,274,2955,187,1.3400758533501895,1.3400758533501895,1.5259165613147914,0.8912768647281921,0.3463969658659924,0.23640960809102401,1.1386792452830188,0.6650943396226415,0.25849056603773585,0.17641509433962263,0.584092792046396,0.22700911350455674,0.15492957746478872,0.38865248226950355,0.2652482269503546,0.6824817518248175,625681,1123600,1456849,497025,75076,34969,-0.5773195876288659,56,3,-0.05748663101604278,0.48266841072596467,1.0329551593733117,1135.8804954747661,0.6520799567801189,2010-04-28,2010-04-28,66255000,Acorizal,28/04/2010,01/01/1900 07:00,125.5,55,1,1.7403626894942439,1
66255000,23/10/2009,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,21,2009-10-24,460,706,801,598,200,2950,106,1.5347826086956522,1.5347826086956522,1.741304347826087,1.3,0.43478260869565216,0.23043478260869565,1.1345609065155808,0.8470254957507082,0.28328611898017,0.1501416430594901,0.7465667915106118,0.24968789013732834,0.132334581772784,0.33444816053511706,0.17725752508361203,0.53,211600,498436,641601,357604,40000,11236,-0.5495495495495496,14,0,0.13043478260869565,0.5322826639552618,1.199828473413379,754.9956953519669,0.6869639794168096,2009-10-23,2009-10-23,66255000,Acorizal,23/10/2009,01/01/1900 07:00,127,51,-1,1.7075701760979363,1
66255000,18/07/2008,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,7,2008-07-17,187,363,255,238,115,2965,90,1.9411764705882353,1.9411764705882353,1.3636363636363635,1.2727272727272727,0.6149732620320856,0.48128342245989303,0.7024793388429752,0.6556473829201102,0.3168044077134986,0.24793388429752067,0.9333333333333333,0.45098039215686275,0.35294117647058826,0.4831932773109244,0.37815126050420167,0.782608695652174,34969,131769,65025,56644,13225,8100,-0.5188284518828452,0,0,0.12,0.5354037267080746,0.8963636363636364,313.68296096536704,0.4636363636363636,2008-07-18,2008-07-18,66255000,Acorizal,18/07/2008,01/01/1900 07:00,125.8,22,1,1.3424226808222062,1
66255000,31/08/2006,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,26,2006-08-30,812,955,836,879,463,2929,290,1.1761083743842364,1.1761083743842364,1.0295566502463054,1.082512315270936,0.5701970443349754,0.35714285714285715,0.875392670157068,0.9204188481675393,0.4848167539267016,0.3036649214659686,1.0514354066985645,0.5538277511961722,0.34688995215311,0.5267349260523322,0.32992036405005687,0.6263498920086393,659344,912025,698896,772641,214369,84100,-0.3469675599435825,1,0,0.039621525724423415,0.3761044948136765,0.9705715902659876,897.4745121729085,0.4731182795698925,2006-08-31,2006-08-31,66255000,Acorizal,31/08/2006,01/01/1900 07:00,125,40.33,1,1.6056282220076186,1
66255000,19/06/2006,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,25,2006-06-18,225,463,365,253,184,2951,122,2.057777777777778,2.057777777777778,1.6222222222222222,1.1244444444444444,0.8177777777777778,0.5422222222222223,0.7883369330453563,0.5464362850971922,0.39740820734341253,0.2634989200863931,0.6931506849315069,0.5041095890410959,0.33424657534246577,0.7272727272727273,0.48221343873517786,0.6630434782608695,50625,214369,133225,64009,33856,14884,-0.4312210200927357,0,0,0.058577405857740586,0.5726495726495726,0.8982558139534884,416.8896736547932,0.5305232558139535,2006-06-19,2006-06-19,66255000,Acorizal,19/06/2006,01/01/1900 07:00,125.8,33,1,1.5185139398778875,1
66255000,13/03/2002,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,29,2002-03-12,435,776,991,573,169,2034,97,1.7839080459770116,1.7839080459770116,2.27816091954023,1.3172413793103448,0.38850574712643676,0.22298850574712645,1.277061855670103,0.7384020618556701,0.21778350515463918,0.125,0.5782038345105953,0.1705348133198789,0.09788092835519677,0.2949389179755672,0.16928446771378708,0.5739644970414202,189225,602176,982081,328329,28561,9409,-0.6423280423280423,14,0,0.13690476190476192,0.6049046321525886,1.2914946325350949,890.0160110919354,0.8183319570602807,2002-03-13,2002-03-13,66255000,Acorizal,13/03/2002,01/01/1900 07:00,133,52,1,1.7160033436347992,1
66255000,23/08/2001,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,26,2001-08-24,901,974,916,914,597,2934,409,1.0810210876803552,1.0810210876803552,1.0166481687014428,1.0144284128745837,0.6625971143174251,0.45394006659267483,0.9404517453798767,0.9383983572895277,0.6129363449691991,0.419917864476386,0.9978165938864629,0.6517467248908297,0.4465065502183406,0.6531728665207878,0.4474835886214442,0.6850921273031826,811801,948676,839056,835396,356409,167281,-0.23997453851050288,43,0,0.007162534435261708,0.35435327839484054,0.976,945.4448688315993,0.4885333333333333,2001-08-23,2001-08-23,66255000,Acorizal,23/08/2001,01/01/1900 07:00,125.4,62.7,-1,1.7972675408307164,1
